Marital status,Application mode,Application order,Course,Daytime/evening attendance	,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Unemployment rate,Inflation rate,GDP,Target
1,17,5,171,1,1,122.0,1,19,12,5,9,127.3,1,0,0,1,1,0,20,0,0,0,0,0.0,0,0,0,0.0,10.8,1.4,1.74,0
1,15,1,9254,1,1,160.0,1,1,3,3,3,142.5,1,0,0,0,1,0,19,0,0,6,6,14.0,0,6,6,13.666666666666666,13.9,-0.3,0.79,2
1,1,5,9070,1,1,122.0,1,37,37,9,9,124.8,1,0,0,0,1,0,19,0,0,6,0,0.0,0,6,0,0.0,10.8,1.4,1.74,0
2,39,1,8014,0,1,100.0,1,37,38,9,9,141.5,0,0,0,1,0,0,45,0,0,6,5,12.333333333333334,0,6,6,13.0,13.9,-0.3,0.79,2
2,39,1,9991,0,19,133.1,1,37,37,9,7,114.8,0,0,1,1,1,0,50,0,0,5,5,11.857142857142858,0,5,5,11.5,16.2,0.3,-0.92,2
1,1,1,9500,1,1,142.0,1,19,38,7,10,128.4,1,0,0,1,0,1,18,0,0,7,7,13.3,0,8,8,14.345,15.5,2.8,-4.06,2
1,18,4,9254,1,1,119.0,1,37,37,9,9,113.1,1,0,0,0,1,0,22,0,0,5,0,0.0,0,5,0,0.0,15.5,2.8,-4.06,0
1,1,3,9238,1,1,137.0,62,1,1,9,9,129.3,0,0,0,1,0,1,21,1,0,6,6,13.875,0,6,6,14.142857142857142,16.2,0.3,-0.92,2
1,1,1,9238,1,1,138.0,1,1,19,4,7,123.0,1,0,1,0,0,0,18,0,0,6,5,11.4,0,6,2,13.5,8.9,1.4,3.51,0
1,1,1,9500,1,1,136.0,1,19,38,9,9,119.3,1,0,0,1,0,1,18,0,0,8,7,13.214285714285714,0,8,7,13.214285714285714,12.7,3.7,-1.7,2
1,1,2,9853,1,1,133.0,1,19,37,4,9,130.2,1,0,0,1,0,0,19,0,0,6,0,0.0,0,6,0,0.0,12.7,3.7,-1.7,0
1,53,1,9254,1,42,110.0,1,1,1,4,7,111.8,1,0,0,1,0,1,21,0,0,6,6,10.571428571428571,0,6,5,11.0,8.9,1.4,3.51,2
1,1,1,9773,1,1,127.0,1,19,37,9,3,120.7,1,0,0,1,0,0,20,0,0,6,5,13.2,0,6,0,0.0,15.5,2.8,-4.06,0
1,18,1,9238,1,1,137.0,1,19,38,5,8,137.4,1,0,0,1,0,0,18,0,0,6,1,12.0,0,6,2,11.0,10.8,1.4,1.74,1
1,17,2,9500,1,1,135.0,1,19,1,5,4,127.3,1,0,0,1,0,0,18,0,0,7,7,13.30625,0,8,8,14.545,15.5,2.8,-4.06,2
1,1,1,9853,1,1,140.0,1,19,19,7,7,124.6,1,0,0,1,0,0,18,0,0,7,6,11.666666666666666,0,7,6,13.5,16.2,0.3,-0.92,1
1,18,4,9556,1,1,127.0,1,1,38,4,7,121.8,1,0,0,1,0,0,20,0,0,7,7,11.4375,0,8,8,11.425,12.7,3.7,-1.7,1
1,1,4,9500,1,1,142.0,1,19,19,1,1,125.5,1,0,0,1,0,0,18,0,0,8,7,12.857142857142858,0,8,7,12.857142857142858,12.7,3.7,-1.7,2
1,1,4,9670,1,1,125.0,1,1,38,4,7,114.9,1,0,0,1,0,1,19,0,0,6,6,13.375,0,6,6,12.285714285714286,11.1,0.6,2.02,2
1,1,1,9500,1,1,126.0,1,19,19,3,7,123.9,0,0,0,1,0,0,19,0,0,7,6,13.296666666666669,0,8,7,14.114285714285714,11.1,0.6,2.02,2
1,1,1,9238,1,1,151.0,1,19,38,9,9,157.0,1,0,1,1,0,1,18,0,0,6,5,11.6,0,6,4,11.0,7.6,2.6,0.32,1
1,17,2,9238,1,1,115.0,1,19,38,7,8,116.4,1,0,0,1,0,0,21,0,0,6,6,11.375,0,6,6,13.285714285714286,16.2,0.3,-0.92,2
1,1,1,9085,1,1,138.0,1,19,19,3,3,131.0,1,0,0,1,0,0,18,0,0,5,5,12.666666666666666,0,5,4,13.0,9.4,-0.8,-3.12,1
1,17,2,9500,1,1,127.0,1,3,3,1,10,118.8,1,0,0,1,1,0,19,0,0,7,6,12.933333333333332,0,7,6,13.716666666666669,16.2,0.3,-0.92,1
1,44,1,9003,1,39,150.0,1,4,5,4,2,150.0,0,0,0,1,1,0,21,0,0,6,5,11.857142857142858,0,6,5,10.571428571428571,16.2,0.3,-0.92,1
1,51,1,9070,1,1,125.0,1,42,3,125,124,130.0,1,0,0,1,1,0,20,0,2,6,6,12.833333333333334,0,6,4,13.4,8.9,1.4,3.51,2
1,1,1,9147,1,1,143.0,1,1,1,4,6,138.8,0,0,0,0,1,0,18,0,0,5,3,11.333333333333334,0,5,2,13.5,8.9,1.4,3.51,1
1,18,1,8014,0,1,138.0,1,19,1,9,5,134.5,1,0,0,1,0,0,19,0,0,6,6,12.666666666666666,0,6,6,14.375,12.4,0.5,1.79,2
1,1,1,9991,0,1,130.0,1,2,37,3,9,131.4,0,0,0,1,1,0,34,0,0,5,5,12.4,0,5,5,13.428571428571429,13.9,-0.3,0.79,2
1,39,1,33,1,1,130.0,1,38,37,9,6,102.5,0,0,1,0,1,0,37,0,0,7,0,0.0,0,7,1,10.0,8.9,1.4,3.51,0
1,39,1,9119,1,10,133.1,1,34,37,0,0,128.8,1,0,0,1,1,0,43,0,0,5,0,0.0,0,5,0,0.0,7.6,2.6,0.32,0
1,43,1,9147,1,1,140.0,1,37,37,6,6,122.9,0,0,0,1,0,0,55,0,0,5,1,10.0,0,5,2,12.0,16.2,0.3,-0.92,0
4,39,1,9991,0,1,120.0,1,19,19,9,3,113.9,1,0,0,1,0,0,39,0,0,5,5,11.0,0,5,5,11.6,7.6,2.6,0.32,2
1,44,1,9130,1,39,120.0,6,4,4,3,6,120.0,0,0,1,0,0,0,20,1,2,6,3,11.666666666666666,1,6,3,12.0,12.4,0.5,1.79,0
1,1,5,9773,1,1,126.0,1,3,3,2,2,121.1,0,0,1,1,0,0,18,0,0,6,4,12.75,0,5,0,0.0,12.7,3.7,-1.7,0
1,1,2,9147,1,1,133.0,1,3,19,2,7,120.4,1,0,0,1,0,0,22,0,0,5,5,14.8,0,5,5,15.8,8.9,1.4,3.51,2
1,39,1,9991,0,1,133.1,1,37,37,9,9,109.7,0,0,0,1,0,0,29,0,0,5,0,0.0,0,5,0,0.0,16.2,0.3,-0.92,0
1,17,1,9991,0,1,154.0,1,38,38,4,5,134.1,0,0,0,1,0,0,24,0,0,5,2,11.5,0,5,3,14.333333333333334,7.6,2.6,0.32,1
1,17,2,9238,1,1,130.0,1,19,19,9,9,127.6,1,0,0,1,0,0,18,0,0,6,6,11.666666666666666,0,6,5,13.2,11.1,0.6,2.02,2
1,17,6,9500,1,1,132.0,1,37,19,7,7,132.4,1,0,0,1,0,1,22,0,0,7,6,13.516666666666666,0,8,7,13.771428571428572,11.1,0.6,2.02,2
1,44,1,8014,0,39,130.0,1,1,19,9,9,133.4,0,0,0,1,0,1,21,0,3,6,6,11.5,2,6,6,13.285714285714286,12.4,0.5,1.79,2
1,1,1,9238,1,1,139.0,1,37,38,9,9,126.1,0,0,0,1,0,1,19,0,0,6,5,12.333333333333334,0,6,6,12.833333333333334,12.7,3.7,-1.7,2
1,39,1,9254,1,1,130.0,1,19,38,9,7,113.5,0,0,0,1,0,1,24,0,0,6,6,13.666666666666666,0,6,6,14.166666666666666,12.4,0.5,1.79,2
1,1,1,9500,1,1,139.0,1,37,38,6,6,121.3,1,0,0,1,0,1,19,0,0,8,6,11.833333333333334,0,8,6,11.833333333333334,9.4,-0.8,-3.12,1
1,1,1,9773,1,1,127.0,1,1,19,7,7,121.8,1,0,0,1,0,1,20,0,0,6,4,14.0,0,6,3,11.0,9.4,-0.8,-3.12,1
1,1,3,9130,1,1,167.0,1,37,37,90,90,159.3,0,0,0,1,0,0,19,0,0,5,5,14.714285714285714,0,5,5,15.8,7.6,2.6,0.32,2
1,1,1,9500,1,1,130.0,1,1,19,5,5,129.1,1,0,0,1,0,0,18,0,0,7,7,13.044444444444444,0,8,8,13.595,15.5,2.8,-4.06,2
2,7,1,9254,1,3,130.0,1,1,3,4,3,130.0,0,0,0,1,0,0,39,0,0,6,0,0.0,0,6,0,0.0,12.4,0.5,1.79,0
1,17,1,9500,1,1,141.0,1,38,38,7,10,139.8,1,0,0,1,0,0,18,0,0,8,8,14.935,0,8,8,14.935,9.4,-0.8,-3.12,2
